num,symbol,name,cik
0,TWOU,2U INC,1459417
1,EGHT,8X8 INC,1023731
2,ATEN,A10 NETWORKS INC,1580808
3,ACIW,ACI WORLDWIDE INC,935036
4,ADBE,ADOBE INC,796343
5,AGYS,AGILYSYS INC,78749
6,ALRM,ALARM.COM HOLDINGS INC,1459200
7,ALTR,ALTAIR ENGINEERING INC,1701732
8,AYX,ALTERYX INC,1689923
9,PLAN,ANAPLAN INC,1540755
10,ANSS,ANSYS INC,1013462
11,APPF,APPFOLIO INC,1433195
12,APPN,APPIAN CORP,1441683
13,ASAN,ASANA INC,1477720
14,AZPN,ASPEN TECHNOLOGY INC,929940
15,ASUR,ASURE SOFTWARE INC,884144
16,AEYE,AUDIOEYE INC,1362190
17,ADSK,AUTODESK INC,769397
18,ADP,AUTOMATIC DATA PROCESSING,8670
19,AVLR,AVALARA INC,1348036
20,AWRE,AWARE INC,1015739
21,BNFT,BENEFITFOCUS INC,1576169
22,BSY,BENTLEY SYSTEMS INC,1031308
23,BILL,BILL.COM HOLDINGS INC,1786352
24,BKYI,BIO-KEY INTERNATIONAL INC,1019034
25,BLKB,BLACKBAUD INC,1280058
26,BLBX,BLACKBOXSTOCKS INC,1567900
27,BL,BLACKLINE INC,1666134
28,EPAY,BOTTOMLINE TECHNOLOGIES INC,1073349
29,BOX,BOX INC,1372612
32,BOXL,BOXLIGHT CORP,1624512
33,BLIN,BRIDGELINE DIGITAL INC,1378590
34,BSQR,BSQUARE CORP,1054721
35,CDNS,CADENCE DESIGN SYSTEMS INC,813672
36,CDK,CDK GLOBAL INC,1609702
37,CRNC,CERENCE INC,1768267
38,CDAY,CERIDIAN HCM HOLDING,1725057
39,CTXS,CITRIX SYSTEMS INC,877890
40,CLSK,CLEANSPARK INC,827876
41,NET,CLOUDFLARE INC,1477333
42,CVLT,COMMVAULT SYSTEMS INC,1169561
43,COUP,COUPA SOFTWARE INC,1385867
44,CRWD,CROWDSTRIKE HOLDINGS INC,1535527
45,CYRN,CYREN LTD,1084577
46,DDOG,DATADOG INC,1561550
47,MSP,DATTO HOLDING CORP,1724570
48,DMRC,DIGIMARC CORP,1438231
49,APPS,DIGITAL TURBINE INC,317788
50,DOCU,DOCUSIGN INC,1261333
51,DOMO,DOMO INC,1505952
52,DBX,DROPBOX INC,1467623
53,DT,DYNATRACE INC,1773383
54,EBIX,EBIX INC,814549
55,ZEST,ECOARK HOLDINGS INC,1437491
56,EGAN,EGAIN CORP,1066194
57,ENV,ENVESTNET INC,1337619
58,EVBG,EVERBRIDGE INC,1437352
59,EVOL,EVOLVING SYSTEMS INC,1052054
60,FICO,FAIR ISAAC CORP,814547
61,FSLY,FASTLY INC,1517413
62,FIVN,FIVE9 INC,1288847
63,FTNT,FORTINET INC,1262039
64,GVP,GSE SYSTEMS INC,944480
65,GTYH,GTY TECHNOLOGY HOLDINGS,1682325
66,GWRE,GUIDEWIRE SOFTWARE INC,1528396
67,HUBS,HUBSPOT INC,1404655
68,IDEX,IDEANOMICS INC,837852
69,INTZ,INTRUSION INC,736012
70,INTU,INTUIT INC,896878
71,INUV,INUVO INC,829323
72,ISDR,ISSUER DIRECT CORP,843006
73,JACK,JACK IN THE BOX INC,807882
74,JAMF,JAMF HOLDING CORP,1721947
75,FROG,JFROG LTD,1800667
76,LPSN,LIVEPERSON INC,1102993
77,MANH,MANHATTAN ASSOCIATES INC,1056696
78,MRIN,MARIN SOFTWARE INC,1389002
79,MSFT,MICROSOFT CORP,789019
80,MSTR,MICROSTRATEGY INC,1050446
81,MITK,MITEK SYSTEMS INC,807863
82,MODN,MODEL N INC,1118417
83,MDB,MONGODB INC,1441816
84,NCNO,NCINO INC,1902733
85,NTWK,NETSOL TECHNOLOGIES INC,1039280
86,NEWR,NEW RELIC INC,1448056
87,NLOK,NORTONLIFELOCK INC,849399
88,NUAN,NUANCE COMMUNICATIONS INC,1002517
89,NTNX,NUTANIX INC,1618732
90,OBLG,OBLONG INC,746210
91,OKTA,OKTA INC,1660134
92,OSPN,ONESPAN INC,1044777
93,ORCL,ORACLE CORP,1341439
94,PD,PAGERDUTY INC,1568100
95,PANW,PALO ALTO NETWORKS INC,1327567
96,PCYG,PARK CITY GROUP INC,50471
97,PAYX,PAYCHEX INC,723531
98,PAYC,PAYCOM SOFTWARE INC,1590955
99,PCTY,PAYLOCITY HOLDING CORP,1591698
100,PEGA,PEGASYSTEMS INC,1013857
101,PHUN,PHUNWARE INC,1665300
103,PING,PING IDENTITY HOLDING CORP,1679826
104,PRGS,PROGRESS SOFTWARE CORP,876167
105,PRO,PROS HOLDINGS INC,1392972
106,PTC,PTC INC,857005
107,QTWO,Q2 HOLDINGS INC,1410384
108,QLYS,QUALYS INC,1107843
109,QUMU,QUMU CORP,892482
110,RPD,RAPID7 INC,1560327
111,RNWK,REALNETWORKS INC,1046327
112,RNG,RINGCENTRAL INC,1384905
113,RIOT,RIOT BLOCKCHAIN INC,1167419
114,CRM,SALESFORCE.COM INC,1108524
115,SEAC,SEACHANGE INTERNATIONAL INC,1019671
116,SCWX,SECUREWORKS CORP,1468666
117,NOW,SERVICENOW INC,1373715
118,SSTI,SHOTSPOTTER INC,1351636
119,SMAR,SMARTSHEET INC,1366561
120,SMSI,SMITH MICRO SOFTWARE INC,948708
121,SNOW,SNOWFLAKE INC,1640147
122,SWI,SOLARWINDS CORP,1739942
123,SOFO,SONIC FOUNDRY INC,1029744
124,SPLK,SPLUNK INC,1353283
125,SPT,SPROUT SOCIAL INC,1517375
126,SPSC,SPS COMMERCE INC,1092699
127,SUMO,SUMO LOGIC INC,1643269
128,SNCR,SYNCHRONOSS TECHNOLOGIES,1131554
130,SNPS,SYNOPSYS INC,883241
131,TENB,TENABLE HOLDINGS INC,1660280
132,TDC,TERADATA CORP,816761
133,TTD,TRADE DESK INC,1671933
134,TWLO,TWILIO INC,1447669
135,TYL,TYLER TECHNOLOGIES INC,860731
136,U,UNITY SOFTWARE INC,1810806
137,UPLD,UPLAND SOFTWARE INC,1505155
138,VRNS,VARONIS SYSTEMS INC,1361113
139,VEEV,VEEVA SYSTEMS INC,1393052
140,VRNT,VERINT SYSTEMS INC,1166388
141,VERI,VERITONE INC,1615165
142,VERX,VERTEX INC,1806837
143,VHC,VIRNETX HOLDING CORP,1082324
144,WDAY,WORKDAY INC,1327811
145,WK,WORKIVA INC,1445305
146,XPER,XPERI HOLDING CORP,1803696
147,YEXT,YEXT INC,1614178
148,ZEN,ZENDESK INC,1463172
149,VUZI,ZIX CORP,1463972
150,ZI,ZOOMINFO TECHNOLOGIES,1794515
151,ZS,ZSCALER INC,1713683
152,ZUO,ZUORA INC,1423774
